Item Title,Abstract,label
Solar-Dish Configurations for a Low-Temperature Turbine in a Parallel-Flow Brayton Cycle,"A single-shaft solar-dish Brayton cycle is being developed at the University of Pretoria to provide electricity to communities with limited or no access to the electricity supply grid. However, small-scale single-shaft gas turbine cycles developed from radial turbomachinery typically operate at low pressure ratios and experience a loss in performance due to pressure drop when components are added for hybridisation or cogeneration. To solve this issue, a parallel flow low-temperature turbine (LTT) can be incorporated and investigated in terms of different solar-dish layouts to determine the performance improvement that the application of concentrating solar power adds to the simple parallel-flow cycle. This study follows an analytical approach to defining four cycle layouts, a simple LTT, two variations of a solar LTT, and a multi-dish solar LTT. Results show that the application of a solar receiver between the split-off point and the combustion chamber allows for improvements of 36% and 64% in thermal efficiency and power output, respectively, in comparison to the simple LTT cycle. Similarly, when the solar receiver is added between the split-off point and the power turbine, the thermal efficiency and power output improve by 36% and 13%, respectively. The multi-dish configuration allows for improvements of 84% and 119% in thermal efficiency and power output, respectively, compared to the simple LTT cycle. Thus, the implementation of a solar LTT setup is feasible for cycle improvement, with the multi-dish layout offering the greatest feasibility. The multi-dish layout would, however, introduce additional costs and piping pressure losses to the cycle that has not been considered in this work. It is recommended to investigate applying a larger solar dish as well as recuperation for further performance improvements.",Energy Engineering
Thermal Energy Storage Model for Hybrid Energy System Analysis,Long duration energy storage (LDES) plays a crucial role in enabling the world to harness renewable energy efficiently. Electrochemical energy storage technologies have been deployed at ever greater capacities but is often hampered by high cost and limited mineral resources. Thermal energy storage (TES) has the potential to be an economical and location-independent technology for LDES. TES stores energy in the form of heat in low-cost materials. A dynamic TES simulation tool within Flownex was developed and used to compare the economic viability of a TES gas turbine cogeneration system with a lithium-ion (Li-ion) battery system to deliver the same output. An economic comparison for both systems over a 30-year project life shows the benefit of TES for LDES.,Energy Engineering
Optimising the Energy Mix for Eco-industrial Parks in Developing Countries: A Least-Cost Analysis Using PyPSA,"As a result of persistent loadshedding since 2008, numerous industries have increased their efforts to adopt alternative energy technologies to lessen their reliance on the national grid. Industrial spaces are no exception, particularly with the emergence of eco-industrial parks - a group of manufacturing and service businesses situated on a shared property. Questions arise regarding how much an industrial park can decrease its reliance on the national grid and how much emissions can be reduced by utilizing an optimal combination of available energy technologies. These questions are addressed through a least-cost optimisation case study of a medium-sized eco-industrial park. A customised capacity expansion planning tool built on the opensource platform Python for Power System Analysis (PyPSA) is employed in the study. Renewable energy is sourced from rooftop solar PV and an offsite wind installation. Energy storage is provided by commercially available LiFePO 4 containerised lithium-ion batteries. The model assumes a multi-year simulation horizon, with learning rate assumptions for the renewables based on the NREL Annual Technology Baseline report. Several scenarios are modelled, and the outcomes are compared to a “business as usual” case, where reliance is solely on the national grid and no embedded renewable energy is employed. The study shows that the employment of currently available renewable energy solutions offers industrial spaces a significant cost saving and a reduced carbon footprint while simultaneously reducing their dependence on the grid.",Energy Engineering
Comprehensive Assessment of Green Hydrogen Production Socio-Economic and Environmental Impacts in South Africa,"The just energy transition and environmental sustainability initiatives promote hydrogen as a competitive energy carrier due to its chemical properties and low in-situ carbon emissions. Green hydrogen production in South Africa gained momentum with monetary investments due to the availability of natural resources and the waste-to-energy program for sustainable local feedstock. However, no clear strategies exist for sustainable socio-economic impact and cradle-to-grave compliance with the green status, particularly desalinating seawater and managing CO 2 emissions during production/transportation. Hence, this study aimed to assess the socio-economic and environmental impacts of green hydrogen production in South Africa. The key findings were that the cost of production and transportation must be drastically reduced to make it economically competitive. Employing the complex economy model by diversifying products to green hydrogen as an energy carrier, synthetic fuels, green ammonia, green fertilizers and green steel production. Legal loopholes allowing community development and waste management negligence are underscored.",Energy Engineering
Behaviour of Electrical Characteristics of Individual Cells in a Crystalline Photovoltaic (PV) Module Operating under Partial Shading Conditions,"PV modules are susceptible to shading, which can significantly impact their electrical performance. While previous research has focused on the effects of shading on module-level performance, the electrical characteristics of individual cells operating within a shaded module remain understudied. Partial shading can cause bumps on the current-voltage (I-V) curve and shift the operational point of the module, affecting the electrical behaviour of individual cells. Under uniform irradiance, all cells with identical characteristics will behave similarly, but under partial shading, these cells respond differently. A custom-built setup was used to measure the voltage and current of a full-cell crystalline silicon module and its individual cells while shading a single cell. The results show that shading a cell reduces its operational voltage and affects the voltages of the unshaded cells, which depends on the module’s operational current-voltage point, which is determined by the Maximum Power Point Tracking (MPPT) algorithm used. The results further show that efforts to extract maximum power from a partially shaded module result in the shaded cell operating at higher temperatures, which can lead to hot spot formation and module degradation.",Energy Engineering
Understanding the Spatial-Economic Optimisation of Biomethane Injection into the ROMPCO and Lilly Natural Gas Grid: The Case for Southern Africa,"The transition to net-zero carbon emissions necessitates innovative strategies to decarbonize sectors heavily reliant on fossil fuels. Biomethane, a biogenic renewable gas, emerges as a crucial alternative for these sectors, particularly in the context of Southern Africa’s energy landscape. This research proposes the development of a decision-making tool that integrates Life Cycle Assessment (LCA), techno-economic analysis and infrastructure and logistics requirements for biomethane production and injection into natural gas grid, focusing on Southern Africa. The study will use a multicriteria decision analysis approach to create an integrated model encompassing the entire biomethane supply chain—from feedstock sourcing to production, grid injection, and distribution. Key objectives include optimizing the location and design of biomethane production facilities, assessing the economic viability through a detailed techno-economic analysis, and evaluating the environmental impact using life cycle assessment (LCA). The research will address the challenges of integrating biomethane into existing gas infrastructure, considering grid injection standards, infrastructure modifications, and the economic and environmental benefits of a distributed biomethane system. Importantly, the model will consolidate findings from different submodels, providing key insights for developing a roadmap to reduce greenhouse gas emissions through biomethane injection into gas grid.",Energy Engineering
Technology Innovation System Analysis of Biogas in South Africa,"Anaerobic digestion of organic waste is utilised in many countries to improve waste and resource management and to produce biogas, thus contributing to the sustainability transition. However, the production of biogas in South Africa has been relatively low, and the uptake of the biogas technology remains slow. This study uses a systematic literature review and technology innovation system approach to identify and analyse critical barriers influencing the uptake of biogas technologies based on the institution, technologies, economic, market, information, environmental, socio-cultural, and technical barriers (ITEMIEST barriers). The study found that critical system barriers influence South Africa’s biogas innovation system functions.",Energy Engineering
Long Heliostat Facet with Aluminum Reflector Structural Panel Analysis,"Concentrating solar power (CSP) plants utilize reflective facets in heliostats to concentrate sunlight, but these facets contribute significantly to the cost of the plant. This study explores a novel heliostat facet design utilising long aluminium reflector panels to reduce costs. Three different support structure concepts for a 6 m long aluminium reflector facet are proposed and analysed: a frame support, a sandwich panel, and a formed sheet metal design. The facet concepts are compared based on their material costs and optical performance, quantified by the root mean square (RMS) slope error. Analytical calculations and finite element analysis are employed to determine the slope errors under representative loading conditions, including gravity and wind loads, at different facet angles. The results show that the frame-supported panel and formed sheet facets are the cheapest, and the formed sheet has the best optical performance. The sandwich panel is the most expensive and has the worst optical performance. This work demonstrates the potential of long aluminium reflector designs to reduce heliostat costs while maintaining optical performance, which could improve the economic viability of CSP plants.",Energy Engineering
Unpacking the Transition Management of Local Electricity Generation: A Case Study of the City of Johannesburg,"South Africa’s electricity policy and legislation have evolved considerably over the last 20 years to support the transition to a decentralised, low-carbon energy system. This transition impacts municipal utilities, enhancing their autonomy and integration with Independent Power Producers (IPPs) and prosumers. However, limited scholarly attention exists regarding local-level governance frameworks for this transition. Using the Transition Management framework, this study analyses electricity governance in the City of Johannesburg across strategic, tactical, operational, and reflexive levels. Key findings include that at the strategic level, national and municipal visions emphasise renewable energy development and market decentralisation, with Johannesburg aiming to source 35% of its electricity from renewables by 2030. At the tactical level, regulatory reforms are needed to integrate small-scale embedded generation into the distribution network. Operationally, City Power has started to give effect to the just transition vision and its renewable energy targets through various initiatives, including renewable energy investments and power purchase agreements. At the reflexive level, gaps in local monitoring of embedded renewable capacity and generation highlight the need for improved registration of renewable energy systems. These insights contribute to sustainable urban development discussions and inform other cities undergoing similar energy transitions.",Energy Engineering
Slip-Permanent Magnetic Coupling Transient Load Reduction Capabilities for Slip Synchronous Wind Turbines,"In the pursuit of improved reliability of wind generators, a transient stability analysis is performed on a newly proposed geared slip-synchronous wind turbine system (SSWTS). Thus, by performing the transient response analysis, this paper showed the performance of the SS-WTS drivetrain response under adverse wind conditions. This is performed by constructing a transfer function for the SS-WTS drivetrains at a 10-kW power level, where the optimal rated-slip of the slip permanent magnet coupler (S-PMC) was selected to ensure proper damping to the gearbox and permanent magnet synchronous generator (PMSG). From the transient response analysis, a finite element analysis (FEA) was performed on the S-PMC and the PMSG within the SS-WTS. This paper found the optimal rated-slip range for sub-100-kW geared SS-WTSs, where adequate damping is provided to the gearbox and PMSG .",Energy Engineering
Design and Optimisation of a Modular PV-CSP Hybrid Plant,"This study investigates the design and optimisation of a hybrid plant comprising an array of 30 MWac PV-CSP modules. Each module integrates a PV system, a power tower CSP with thermal energy storage, and a gas-fired generator for backup power. This configuration aims to leverage the benefits of both PV and CSP technologies while addressing the challenges associated with large-scale CSP systems, such as high upfront costs and lengthy construction periods. A Python-based application was developed to optimise and simulate a modular PV-CSP hybrid plant. This application integrates existing software with custom computational and financial models to generate performance and economic metrics. To investigate the possible economic advantages of a modular plant, a single 120 MWac plant was compared with a modular plant comprising 4 × 30 MWac modules constructed sequentially. The large-scale plant demonstrates better economic performance across all investigated metrics. The modular layout enables earlier revenue generation; however, it has a higher total installation cost than the large-scale plant. These findings highlight the possible economic advantages of constructing single large-scale systems rather than integrating several small-scale systems.",Energy Engineering
Advancements in Weather Forecasting: How AI Weather Prediction Is Changing the Wind Power Industry,"Wind power forecasting is essential for the integration of wind power producers (WPPs) into existing energy grids and energy markets. For decades, numerical weather prediction (NWP) has formed the cornerstone of wind power forecasting efforts. Due to the high computational requirements and technical complexities associated with NWP, WPPs typically purchase their forecasts from external service providers. However, with the arrival of advanced statistical methods and artificial intelligence weather prediction (AIWP) techniques, this landscape is rapidly transforming. These modern forecasting approaches are encroaching on traditional NWP in terms of accuracy and anomaly prediction for medium-range forecast horizons, which may usher in a new era of wind power forecasting. This review article explores the characteristics of a valuable wind power forecast and investigates current NWP models to reveal limitations that could be solved with AIWP. As part of this investigation, AIWP models are compared to NWP to identify the key models responsible for this revolution. It reveals that AIWP is improving rapidly compared to NWP, suggesting a potential integration of AIWP as a decision-making tool. While AIWP models do not yet surpass the accuracy of traditional physical models across all validation criteria, they provide cost-effective and computationally efficient alternatives that are less complex to implement. The advantages and concerns of AIWP highlight the readiness of these AIWP models to be implemented in the wind power industry.",Energy Engineering
Performance and Safety Testing of End-of-Life Photovoltaic Modules,"As the Photovoltaic (PV) Industry in South Africa grows so will the eventual increase in Photovoltaic waste, either due to end-of-life or due to early failures. The reuse of PV modules is preferable to the disposal or recycling of the waste modules as it retains the most value and it could improve energy access in the country. To reuse these modules a thorough testing process is necessary to determine if the PV module is safe and efficient to continue to operate. The paper presents a case study on the testing processes of end-of-life modules and discusses the appropriate outcome, either reuse, repair, or recycling. Second life modules have been sourced by repowering activities, preventative maintenance and insurance claims which require testing protocols to meet the concerns of the end user. Modules that pass the performance tests have significant safety issues that require further repairs. The tests required are dependent on the conditions of the PV modules and the requirements of the end user. Ultimately, safety issues associated with the use of the modules should be the primary concern. Included in this study, is the testing of 70 modules donated to a local Community Centre. Testing of these modules indicated that power exceeded the expected performance based on the linear degradation warranty for nine-year-old modules, however, the modules have backsheet cracks which compromise the electrical insulation of the module. These modules were determined to be unsafe for reuse without repair in a cost-effective way before they could be safely used.",Energy Engineering
Asphaltene-Derived Carbon as Anode Material for Rechargeable Li-ion Batteries,"Asphaltene-derived materials have been successfully demonstrated as effective anode materials for Li-ion batteries. Pyrolyzed asphaltene used as an anode exhibited a specific capacity of up to 420 mAh g −1 , significantly surpassing that of well-known commercial graphite and raw asphaltene. The battery anode made from pyrolyzed asphaltene also displayed excellent rate capabilities, even at a high 5 °C-rate. Both pyrolyzed asphaltene and N-doped pyrolyzed asphaltene demonstrated strong cycle performance, underscoring their potential as high-performance anode materials.",Energy Engineering
Intelligent Single Axis Solar Tracker with Shade Optimization and Back Tracking,"The intelligent single-axis solar tracking system enhances energy efficiency by actively and passively tracking the sun, optimizing photovoltaic (PV) output even under partial shading conditions. Research shows that partial shading significantly reduces energy production, and incorporating tracking systems with optimization algorithms can mitigate these effects. The system maximizes energy by adjusting the PV modules’ orientation throughout the day, with active backtracking methods reducing shading impacts. Fluid simulations for wind loads were conducted on the structure, and results showed the system can withstand wind speeds of 15 m/s with a factor of safety. The system also mitigates wind load risks by moving into a safe stow position during high winds, increasing durability. With 12-h autonomy and data logging, it supports real-time performance analysis. Its dismantlable design offers flexibility for transport, making it adaptable to various environments, and an effective solution for maximizing solar energy generation.",Energy Engineering
Additive Manufacturing of Multifunctional Electrolyser Components for Hydrogen Production,"Proton exchange membrane water electrolysers (PEMWEs) represent an efficient and compact technology for hydrogen production. However, their widespread commercial adoption has been affected by the high costs associated with the fabrication of critical components such as the mesh flow distributor structures on the anode side. This component plays a crucial role in optimising two-phase (oxygen and water) counterflow distribution, enhancing electrical conductivity, and facilitating efficient heat transfer. The complex geometries required for these structures are challenging and costly to produce using conventional manufacturing techniques. This study investigates the potential of additive manufacturing technologies, specifically laser powder bed fusion, for fabricating titanium meshes with varying geometries. By controlling pore and strut shape and dimensions, meshes with tailored porosities and surface areas were produced and characterised using optical microscopy and scanning electron microscopy. Surface treatments were applied to enhance hydrophilicity for improving water transport to the catalyst layers and the treated surfaces were characterised. Moreover, the multifunctional potential of these mesh structures as electrodes was explored through anodisation, which generated nanoscale titanium dioxide (TiO₂) structures on the mesh surfaces. These hierarchically structured electrocatalysts are designed to reduce the reliance on expensive noble metals like platinum, offering cost reduction opportunities. The performance of the mesh electrodes was evaluated in the hydrogen evolution reaction, demonstrating their potential as multifunctional components in electrolyser systems.",Energy Engineering
Research to Support South Africa’s Green Hydrogen Ambitions,"South Africa has supported hydrogen research since 2007 through the HySA programme, funded by Department of Science Technology and Innovation (DSTI). With the emergence of a burgeoning green hydrogen (GH2) economy and ambitions to supply a potential lucrative export market to Europe and Japan, focussed research can contribute to establish South Africa as a GH2 production and export hub. This paper highlights the potential market share of GH2 and derivatives that could be supplied by South Africa to satisfy international demand. The paper then describes current South African research activities along the GH2 value chain. Research supported by the public and private sector is considered. Existing research activities are analysed to determine the relevance for current policy objectives and recommended research topics, identified through stakeholder engagement, are identified.",Energy Engineering
Outdoor Photoluminescence Imaging of PhotovoltaicModules,"Commercially available silicon solar cells have reached efficiencies approaching their theoretical limit. This implies that the performance of Si-based photovoltaic (PV) modules is depended on the materials utilised within the module. As the PV market is working towards sustainability and a circular economy, the performance and longevity of PV modules is vital. Outdoor Electroluminescence (EL) imaging of large-scale PV power plants has become a standard practice to identify defects and electrical problems in modules. A technique that is similar to EL imaging is photoluminescence (PL) imaging. PL imaging has its advantages compared to EL imaging, as this can be done in daytime while the PV plant is in operation, utilising the sun as the photo-excitation source. In this study, outdoor PL imaging of commercially available silicon PV module is demonstrated and the usefulness of the technique to identify performance limiting defects and abnormalities in PV modules is illustrated.",Energy Engineering
"Towards an Evidence Base to Support Power-To-X (PTX) Decision-Making in South Africa: Applying Systems Thinking, Knowledge Co-production and Spatial Analysis","De-fossilisation is a priority, globally and in South Africa. Power-to-X (PtX) technologies could contribute greatly to achieving these ambitions. South Africa’s renewable energy resources, land availability, platinum group metals resources, and port infrastructure, position it as a potential competitor in the global PtX economy. In addition to defossilisation, a domestic PtX economy could make substantial contributions to job creation, improve local livelihoods and facilitate a Just Energy Transition. Vast technologies and infrastructure are required to create the electricity and water inputs to deliver PtX products (for domestic use and export), which, if developed at a sufficient speed, scale, and intensity, could have cumulative, unforeseen consequences. We applied systems thinking, knowledge co-production and spatial analysis to develop a foundational evidence base for future planning, assessment and decision-making on PtX projects towards the sustainable and responsible establishment of a South African PtX economy.",Energy Engineering
Evaluation of Zero-Dimensional Furnace Models for Biomass Fired Boilers with the Aid of Computational Fluid Dynamics,"Biomass boilers play a pivotal role in reducing carbon emissions by using organic materials such as wood and agricultural residues as fuel, rather than fossil fuels. The challenge in the design and analysis of these boilers lies in developing computationally efficient and accurate models to simulate these complex systems. While Computational Fluid Dynamics (CFD) provide detailed and reliable results, they are computationally expensive and time-consuming. In contrast, zero-dimensional (0-D) models offer a simplified representation that sacrifice spatial detail for computational efficiency. These models therefore offer a simplified yet efficient way to simulate key combustion and heat transfer processes with significantly reduced computational demands. This paper evaluates existing empirical 0-D models by comparing their results to benchmark solutions obtained with detailed CFD simulations for two bagasse-fired boiler case studies, namely a 105 t/h industrial-scale boiler and a compact 45 t/h boiler. The comparison reveals that although the total energy flows are generally consistent between the 0-D and CFD models, there are differences in the heat transfer distribution and temperature predictions. These findings highlight the need for further calibration of 0-D models to improve their accuracy, especially for smaller biomass boilers.",Energy Engineering
Experimental Investigation of Oil Based Evacuated Tube Collector for Domestic Heating Applications,"Experiments on performance of evacuated tube collector were conducted in outdoor conditions to compare performance of evacuated tube collector by using water and Seriola 1510 thermal oil as working medium. The collector was made up of 10 heat pipes, each 1,700 mm long and 70 mm outside diameter. Three tanks, each with 100 l capacity; include collector tank, hot storage tank and cold storage tank were used. TC-08 data logger and Eppley 8–48 pyranometer were used. Measurements were taken between 0630 to 1830 at an interval of 1 min. Thermocouple inserted to the evaporator for heat pipe on outlet side attained maximum temperature of 174 °C while maximum temperature achieved in the condenser for heat pipe on outlet side was 148 °C. With maximum solar irradiance of about 664 W/m 2 during the days, highest temperature for water heating was recorded to be 70 °C and for the case of thermal oil, temperature soared to 114 °C. Maximum collector efficiency was around 69% for water heating, and 55% for oil heating. However, oil lost about 2.9 MJ after 12 h while water lost more than 5.4 MJ at similar period of time. Oil heating provides promising results for low grade domestic heating applications including adsorption refrigeration.",Energy Engineering
Performance Behaviours of Nano and Conventional Solar PV Modules Under Tropical Conditions,"Experiments on performances of nano and conventional solar PV modules involved establishing of I–V curves under tropical condition were conducted. Nano PV module based on copper indium gallium selenide and conventional PV module based on mono crystalline silicon with the same rated peak power of 5 W, recorded maximum power of 3.6 W and 3.7 W respectively at STC and irradiance of 1000 W/m 2 . Efficiencies of nano and conventional solar PV modules were 10.93% and 12.21%, which is slightly lower than rated STC values of 14% and 16% respectively. Deviation in power output is associated with high module temperature of about 59.1 °C. At corresponding temperature below 45 °C and irradiance of 400 W/m 2 , efficiency of nano module was about 5% higher than that of conventional module.",Energy Engineering
